                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2941,                 1.3194,                 1.0162,                0.52676,                 0.4114,                0.43079,                0.27266,                 1.1797,                0.92629,                0.96697,               0.070037,              0.0033292,              0.0033292
                      1,                 1.2571,                 1.0239,                0.99047,                0.54365,                0.46043,                0.47383,                0.29611,                 1.1827,                0.88929,                0.96793,               0.039927,              0.0065526,              0.0065526
                      2,                 1.2877,                 1.0138,                0.99441,                0.54717,                   0.44,                0.45165,                0.28089,                 1.2098,                0.93353,                0.97614,              0.0097072,               0.009666,               0.009666
                      3,                 1.2957,                  1.014,                 1.0033,                0.54075,                0.43841,                0.45702,                0.28394,                 1.2226,                0.92225,                0.98724,               0.009505,               0.009505,               0.009505
                      4,                 1.2886,                0.98781,                 1.0055,                0.55121,                0.46227,                 0.4746,                0.29453,                 1.2101,                0.89672,                0.98336,               0.009505,               0.009505,               0.009505
                      5,                 1.2702,                0.94402,                0.99558,                0.58321,                 0.4746,                0.49314,                0.30973,                 1.1844,                0.87319,                 0.9754,                0.00934,                0.00934,                0.00934
                      6,                 1.2451,                0.91321,                 0.9849,                0.58503,                0.46107,                 0.4916,                0.30872,                 1.1978,                0.87123,                0.97569,               0.009175,               0.009175,               0.009175
                      7,                 1.2419,                0.89761,                0.99056,                0.59123,                 0.4784,                0.50459,                0.31435,                 1.1778,                0.85617,                0.97247,                0.00901,                0.00901,                0.00901
                      8,                 1.2196,                0.88302,                0.97871,                0.59919,                0.47889,                0.50755,                0.31834,                 1.1741,                0.84606,                0.96699,               0.008845,               0.008845,               0.008845
                      9,                 1.2107,                0.86114,                0.97529,                0.60894,                 0.4867,                0.51377,                0.32186,                 1.1914,                0.83492,                0.97316,                0.00868,                0.00868,                0.00868
                     10,                 1.2058,                0.85513,                0.96983,                0.60888,                0.49522,                0.52294,                0.32684,                 1.1705,                0.82475,                0.96585,               0.008515,               0.008515,               0.008515
                     11,                 1.1933,                0.82678,                0.97218,                0.61838,                0.49354,                0.53037,                0.33405,                 1.1546,                 0.8141,                0.96417,                0.00835,                0.00835,                0.00835
                     12,                 1.1942,                0.81678,                0.96935,                0.60483,                0.50586,                0.53026,                0.33441,                 1.1606,                0.81349,                0.96619,               0.008185,               0.008185,               0.008185
                     13,                 1.1842,                0.81553,                0.96781,                0.61823,                0.49441,                0.53169,                0.33647,                 1.1626,                0.81323,                 0.9634,                0.00802,                0.00802,                0.00802
                     14,                 1.1771,                0.79386,                0.96333,                0.62017,                0.51307,                0.54476,                0.34183,                 1.1548,                0.79864,                0.96013,               0.007855,               0.007855,               0.007855
