               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085603,             0.20944,            0.044901,             0.28365,               0.215,             0.11208,             0.04867,            0.060724,             0.31782,            0.037402,            0.070037,           0.0033292,           0.0033292
                   1,            0.065039,               0.225,            0.035517,             0.45102,             0.24735,             0.16016,            0.076007,             0.05578,             0.31243,            0.033385,            0.039943,           0.0065683,           0.0065683
                   2,             0.06091,             0.22344,            0.031714,             0.43054,             0.25696,             0.19984,            0.095312,            0.052975,             0.31034,             0.02999,           0.0097543,           0.0097131,           0.0097131
                   3,            0.057968,             0.21922,             0.02891,             0.53851,             0.26645,             0.24666,             0.12536,            0.050407,             0.30788,            0.028229,           0.0095757,           0.0095757,           0.0095757
                   4,            0.054805,             0.21734,            0.026567,             0.39914,             0.29314,             0.27716,             0.14506,            0.049048,             0.30137,            0.026952,           0.0095757,           0.0095757,           0.0095757
                   5,            0.053519,             0.21284,            0.025744,              0.3806,              0.3188,              0.2975,             0.16179,            0.048725,             0.30172,            0.025851,           0.0094343,           0.0094343,           0.0094343
                   6,            0.052154,             0.20613,            0.024889,             0.39034,             0.33985,             0.32004,             0.17219,            0.048854,             0.29968,            0.025267,           0.0092929,           0.0092929,           0.0092929
                   7,            0.051292,             0.20503,             0.02368,             0.42101,             0.33439,             0.33199,             0.18266,            0.047177,             0.29851,            0.024642,           0.0091514,           0.0091514,           0.0091514
                   8,            0.050797,             0.20687,            0.022854,             0.42329,             0.35827,             0.34531,             0.19288,            0.046148,             0.29489,            0.024246,             0.00901,             0.00901,             0.00901
                   9,            0.049802,             0.20469,            0.022146,             0.46325,             0.35628,             0.35806,             0.19999,            0.045978,             0.29401,             0.02342,           0.0088686,           0.0088686,           0.0088686
                  10,            0.049069,             0.20355,            0.021829,             0.44062,             0.37253,             0.36576,              0.2045,            0.045967,             0.29513,            0.023197,           0.0087271,           0.0087271,           0.0087271
                  11,            0.049009,             0.20319,            0.021134,             0.44336,             0.37641,             0.36693,             0.20311,            0.046333,             0.29391,            0.023141,           0.0085857,           0.0085857,           0.0085857
                  12,            0.048288,              0.2018,            0.020893,             0.45398,             0.39194,             0.38078,             0.21627,            0.045262,             0.29252,            0.022629,           0.0084443,           0.0084443,           0.0084443
                  13,              0.0479,             0.19797,            0.020756,             0.45101,             0.38867,             0.37977,             0.21113,            0.045233,             0.29173,            0.022312,           0.0083029,           0.0083029,           0.0083029
                  14,            0.047655,             0.19629,            0.020067,             0.46989,             0.39194,             0.38878,             0.21989,            0.044985,             0.29047,            0.022108,           0.0081614,           0.0081614,           0.0081614
                  15,             0.04731,              0.1969,            0.020106,             0.48013,             0.39276,              0.3908,             0.21869,            0.044791,             0.29002,            0.022002,             0.00802,             0.00802,             0.00802
                  16,            0.046988,             0.18931,            0.019737,             0.46527,             0.39949,             0.39678,             0.22601,            0.044512,             0.28899,            0.021747,           0.0078786,           0.0078786,           0.0078786
                  17,            0.046624,             0.19534,            0.019814,             0.46563,             0.40109,             0.39625,             0.22647,            0.044398,             0.28978,            0.021748,           0.0077371,           0.0077371,           0.0077371
                  18,            0.046369,               0.191,            0.019186,             0.48413,             0.40279,             0.40596,             0.23087,            0.044225,             0.28792,            0.021288,           0.0075957,           0.0075957,           0.0075957
                  19,            0.046263,             0.19377,            0.019202,             0.48856,             0.40674,             0.40284,             0.23094,            0.044253,             0.28812,            0.021422,           0.0074543,           0.0074543,           0.0074543
                  20,            0.045733,             0.18818,            0.018847,             0.48779,             0.40692,             0.40763,             0.23587,            0.044062,             0.28704,            0.021026,           0.0073129,           0.0073129,           0.0073129
                  21,            0.045999,             0.19605,            0.018774,             0.50298,             0.41182,             0.41259,             0.23853,            0.043828,             0.28588,            0.021116,           0.0071714,           0.0071714,           0.0071714
                  22,            0.045559,             0.18938,            0.018998,             0.49569,              0.4133,             0.41461,             0.23935,            0.043761,              0.2854,            0.021152,             0.00703,             0.00703,             0.00703
                  23,            0.045411,             0.19183,            0.018547,             0.49375,             0.41877,             0.41752,             0.24089,            0.043608,             0.28562,            0.020866,           0.0068886,           0.0068886,           0.0068886
                  24,            0.045429,             0.19217,            0.018283,             0.50972,             0.41111,             0.42015,             0.24149,            0.043708,             0.28565,            0.020842,           0.0067471,           0.0067471,           0.0067471
                  25,             0.04502,             0.19012,            0.018087,             0.49806,             0.41498,             0.41748,              0.2403,            0.043548,             0.28487,             0.02082,           0.0066057,           0.0066057,           0.0066057
                  26,            0.044601,             0.19125,            0.018179,             0.50178,             0.41477,             0.42224,              0.2447,            0.043418,             0.28493,            0.020688,           0.0064643,           0.0064643,           0.0064643
                  27,            0.044445,             0.18552,            0.018137,             0.51378,             0.41741,              0.4239,             0.24571,            0.043399,             0.28507,            0.020388,           0.0063229,           0.0063229,           0.0063229
                  28,            0.044443,             0.19026,            0.017788,             0.50303,             0.42581,             0.42761,             0.24949,            0.043199,             0.28472,            0.020395,           0.0061814,           0.0061814,           0.0061814
                  29,            0.044329,             0.18605,            0.017509,             0.51695,             0.41884,              0.4262,              0.2484,            0.043228,             0.28346,            0.020416,             0.00604,             0.00604,             0.00604
                  30,            0.043604,             0.18479,            0.017257,             0.51759,             0.41567,             0.42609,             0.24701,            0.043209,             0.28365,             0.02038,           0.0058986,           0.0058986,           0.0058986
                  31,            0.044209,             0.19013,            0.017537,             0.51772,             0.42007,             0.42912,             0.24941,            0.042992,             0.28249,            0.020343,           0.0057571,           0.0057571,           0.0057571
                  32,            0.044097,             0.18781,            0.017351,             0.52112,             0.42109,             0.42965,             0.25073,            0.042873,             0.28276,            0.020258,           0.0056157,           0.0056157,           0.0056157
