               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074671,             0.20686,            0.041893,             0.38078,             0.28709,             0.19386,            0.089159,            0.054505,             0.29174,            0.032856,            0.070037,           0.0033292,           0.0033292
                   1,            0.058584,             0.20207,            0.029102,             0.56455,             0.31286,             0.30225,             0.15245,            0.051244,             0.28475,            0.027109,            0.039943,           0.0065683,           0.0065683
                   2,            0.054708,              0.1993,            0.025054,             0.57913,             0.33217,              0.3565,             0.19521,            0.046437,             0.28318,            0.024935,           0.0097543,           0.0097131,           0.0097131
                   3,            0.051058,             0.19587,            0.022534,               0.487,             0.38727,             0.40435,             0.23288,            0.044589,             0.27992,            0.023338,           0.0095757,           0.0095757,           0.0095757
                   4,            0.048177,             0.19297,            0.020292,             0.50733,             0.42764,             0.44138,             0.26019,            0.042787,              0.2772,            0.021776,           0.0095757,           0.0095757,           0.0095757
                   5,            0.046504,             0.18852,             0.01958,             0.51602,             0.44275,             0.44152,             0.26317,              0.0421,              0.2762,             0.02121,           0.0094343,           0.0094343,           0.0094343
                   6,            0.045174,             0.18172,             0.01887,             0.51607,             0.46044,              0.4579,             0.27763,            0.041661,              0.2734,            0.020653,           0.0092929,           0.0092929,           0.0092929
                   7,            0.044497,             0.18113,            0.017836,             0.54514,             0.46529,             0.47273,             0.28599,            0.040932,              0.2732,            0.019878,           0.0091514,           0.0091514,           0.0091514
                   8,             0.04389,             0.18224,            0.017405,             0.55084,             0.47101,             0.47775,             0.29215,            0.040172,             0.27065,            0.019633,             0.00901,             0.00901,             0.00901
                   9,            0.043039,                0.18,            0.016908,             0.53447,             0.48775,             0.49256,             0.30255,            0.039676,             0.26758,            0.019285,           0.0088686,           0.0088686,           0.0088686
                  10,            0.042107,             0.17852,             0.01639,             0.56162,             0.49117,             0.49698,             0.30356,            0.040125,             0.27155,            0.019146,           0.0087271,           0.0087271,           0.0087271
                  11,            0.042242,             0.17771,            0.016001,              0.5913,             0.47387,             0.50198,             0.30458,            0.040164,             0.26978,            0.018877,           0.0085857,           0.0085857,           0.0085857
                  12,            0.041744,             0.17646,            0.015694,             0.58547,             0.48713,              0.5025,              0.3085,            0.039595,             0.26864,            0.018867,           0.0084443,           0.0084443,           0.0084443
                  13,            0.041097,             0.17286,            0.015616,             0.57702,             0.49144,             0.50572,             0.31185,            0.039299,             0.26785,            0.018786,           0.0083029,           0.0083029,           0.0083029
                  14,            0.040829,             0.17096,            0.015067,             0.57088,             0.49408,             0.51099,             0.31629,            0.039045,             0.26616,            0.018575,           0.0081614,           0.0081614,           0.0081614
                  15,            0.040723,             0.17125,            0.015007,             0.58581,             0.49294,             0.51344,             0.31665,            0.038989,             0.26662,             0.01847,             0.00802,             0.00802,             0.00802
                  16,            0.040278,             0.16419,            0.014594,             0.58368,             0.48986,             0.51278,             0.32018,             0.03885,             0.26616,            0.018269,           0.0078786,           0.0078786,           0.0078786
                  17,            0.039885,             0.16909,            0.014603,             0.59324,             0.49166,             0.51666,             0.32225,            0.038803,             0.26668,            0.018405,           0.0077371,           0.0077371,           0.0077371
                  18,            0.039426,             0.16534,            0.014147,             0.60885,              0.4826,             0.51439,             0.31984,            0.038773,             0.26706,            0.018318,           0.0075957,           0.0075957,           0.0075957
                  19,            0.039366,               0.167,            0.014229,             0.60012,              0.4946,             0.52284,             0.32365,            0.038978,             0.26811,            0.018127,           0.0074543,           0.0074543,           0.0074543
                  20,            0.038902,             0.16179,            0.013904,             0.61483,             0.49562,              0.5259,             0.32867,            0.038405,             0.26605,            0.017855,           0.0073129,           0.0073129,           0.0073129
                  21,            0.039109,             0.16899,            0.013721,             0.60301,              0.4992,              0.5276,             0.33062,             0.03816,             0.26555,            0.017922,           0.0071714,           0.0071714,           0.0071714
                  22,            0.038717,             0.16206,            0.013742,              0.6019,             0.50648,             0.52937,             0.33208,            0.038192,             0.26459,            0.017655,             0.00703,             0.00703,             0.00703
                  23,            0.038679,             0.16453,            0.013259,             0.61466,             0.49931,             0.52917,             0.33102,            0.038158,             0.26669,            0.017934,           0.0068886,           0.0068886,           0.0068886
                  24,            0.038699,              0.1643,            0.013086,              0.6021,             0.50408,             0.52546,             0.32811,            0.038285,             0.26632,            0.017813,           0.0067471,           0.0067471,           0.0067471
                  25,             0.03828,             0.16243,            0.012896,             0.61072,             0.50457,             0.53071,             0.33297,            0.038255,             0.26621,            0.017839,           0.0066057,           0.0066057,           0.0066057
                  26,            0.037654,             0.16269,            0.012999,             0.62759,             0.50137,             0.53527,             0.33537,            0.037956,             0.26683,            0.017514,           0.0064643,           0.0064643,           0.0064643
                  27,            0.037642,             0.15799,            0.012646,             0.61333,             0.50858,             0.53018,             0.33253,             0.03822,             0.26953,            0.017802,           0.0063229,           0.0063229,           0.0063229
